Genre,Total,Percentage,Movies,TV_Shows
International Movies,2437,14.29,2437,0
Dramas,2106,12.35,2106,0
Comedies,1471,8.63,1471,0
International TV Shows,1198,7.03,0,1198
Documentaries,786,4.61,786,0
Action & Adventure,721,4.23,721,0
TV Dramas,703,4.12,0,703
Independent Movies,673,3.95,673,0
Children & Family Movies,532,3.12,532,0
Romantic Movies,531,3.11,531,0
TV Comedies,518,3.04,0,518
Thrillers,491,2.88,491,0
Crime TV Shows,426,2.5,0,426
Kids' TV,412,2.42,0,412
Docuseries,352,2.06,0,352
Romantic TV Shows,333,1.95,0,333
Stand-Up Comedy,329,1.93,329,0
Music & Musicals,321,1.88,321,0
Horror Movies,312,1.83,312,0
British TV Shows,231,1.35,0,231
Reality TV,222,1.3,0,222
Sci-Fi & Fantasy,218,1.28,218,0
Sports Movies,196,1.15,196,0
Korean TV Shows,150,0.88,0,150
TV Action & Adventure,149,0.87,0,149
Anime Series,147,0.86,0,147
Spanish-Language TV Shows,146,0.86,0,146
Classic Movies,103,0.6,103,0
LGBTQ Movies,90,0.53,90,0
TV Mysteries,90,0.53,0,90
